epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,624.755,0.13656,2.27725,0.93851,0.92373,0.72737,0.7454,0.74385,0.18553,0.4414,0.26685,0.00333252,0.00333252,0.00333252
2,1187.62,0.12728,1.27009,0.91223,0.85681,0.76225,0.78951,0.78571,0.23753,0.33999,0.30457,0.00664386,0.00664386,0.00664386
3,1723.98,0.13485,1.09898,0.91364,0.88653,0.84291,0.87627,0.87344,0.20165,0.33103,0.28337,0.0099332,0.0099332,0.0099332
4,2230.9,0.11747,0.97861,0.90873,0.80727,0.91517,0.84758,0.82896,0.27538,0.41363,0.36221,0.009901,0.009901,0.009901
5,2735.96,0.09566,0.858,0.90382,0.85447,0.91394,0.89932,0.85964,0.28017,0.44284,0.36811,0.009868,0.009868,0.009868
6,3240.94,0.08407,0.78478,0.90028,0.84367,0.95436,0.93047,0.90012,0.28883,0.41453,0.38369,0.009835,0.009835,0.009835
7,3753.57,0.07753,0.74794,0.89909,0.84039,0.96847,0.93295,0.91299,0.27949,0.44867,0.36781,0.009802,0.009802,0.009802
8,4277.46,inf,0.71906,0.8981,0.88067,0.97812,0.94888,0.9348,0.27204,0.44224,0.36285,0.009769,0.009769,0.009769
9,4802.82,0.0707,0.69606,0.89669,0.88873,0.97991,0.94615,0.92745,0.27181,0.44626,0.36609,0.009736,0.009736,0.009736
10,5329.02,inf,0.67214,0.89601,0.89355,0.97834,0.95149,0.92388,0.27994,0.44446,0.37653,0.009703,0.009703,0.009703
11,5856.24,0.06632,0.65385,0.89562,0.90026,0.98661,0.94675,0.92034,0.27338,0.46241,0.36767,0.00967,0.00967,0.00967
12,6375.6,0.06633,0.64352,0.89466,0.90093,0.98743,0.94091,0.92276,0.27414,0.44947,0.36926,0.009637,0.009637,0.009637
13,6898.89,0.06508,0.63082,0.89541,0.90119,0.98421,0.94388,0.9242,0.27167,0.44867,0.36522,0.009604,0.009604,0.009604
14,7422.19,0.06354,0.62481,0.89538,0.90542,0.98251,0.94482,0.91796,0.27036,0.45019,0.36346,0.009571,0.009571,0.009571
15,7946.75,0.06316,0.61762,0.89499,0.90317,0.98242,0.94376,0.91802,0.26913,0.45273,0.36148,0.009538,0.009538,0.009538
16,8461.7,0.06305,0.60351,0.89441,0.9055,0.98375,0.94612,0.92141,0.26888,0.4541,0.36172,0.009505,0.009505,0.009505
17,545.927,inf,0.60664,0.89476,0.90438,0.98626,0.94656,0.92074,0.26989,0.45325,0.36269,0.009472,0.009472,0.009472
18,1077.8,0.06482,0.61041,0.89422,0.90484,0.98342,0.95078,0.92481,0.27132,0.45197,0.36567,0.009439,0.009439,0.009439
19,1596.53,inf,0.59682,0.89369,0.90562,0.98408,0.94933,0.91848,0.2729,0.45679,0.36966,0.009406,0.009406,0.009406
20,2118.57,inf,0.59021,0.89393,0.90564,0.98404,0.94824,0.91432,0.27321,0.4585,0.3715,0.009373,0.009373,0.009373
21,2638.85,0.05911,0.58237,0.89389,0.90532,0.98426,0.95267,0.90842,0.27415,0.45675,0.37246,0.00934,0.00934,0.00934
22,3160.69,0.05943,0.57204,0.89409,0.90554,0.98456,0.9527,0.90432,0.27323,0.45439,0.3714,0.009307,0.009307,0.009307
23,3680.08,inf,0.56848,0.8942,0.90656,0.98467,0.95457,0.90847,0.27175,0.45376,0.36982,0.009274,0.009274,0.009274
24,4199.35,0.0581,0.56441,0.89401,0.90717,0.98031,0.95523,0.91142,0.27152,0.45418,0.36916,0.009241,0.009241,0.009241
25,4720.41,0.05852,0.55972,0.89342,0.90826,0.97607,0.95495,0.92095,0.27129,0.45182,0.36743,0.009208,0.009208,0.009208
26,5240.79,inf,0.5524,0.89306,0.9134,0.97374,0.95473,0.9206,0.27157,0.45073,0.36757,0.009175,0.009175,0.009175
27,5760.04,0.05582,0.54691,0.89299,0.91544,0.97366,0.95463,0.92363,0.27067,0.45304,0.36653,0.009142,0.009142,0.009142
28,6281.73,0.05696,0.54636,0.89264,0.91448,0.97985,0.95814,0.93336,0.2708,0.45198,0.36678,0.009109,0.009109,0.009109
29,6804.37,0.05638,0.54314,0.89278,0.91498,0.97844,0.95978,0.93655,0.27,0.45224,0.36666,0.009076,0.009076,0.009076
30,7327.49,inf,0.53976,0.89353,0.91512,0.97524,0.96036,0.93616,0.26898,0.4539,0.36674,0.009043,0.009043,0.009043
31,7849.61,inf,0.53823,0.89333,0.91651,0.97596,0.96027,0.93789,0.26995,0.45292,0.36817,0.00901,0.00901,0.00901
32,8371.68,inf,0.5327,0.89258,0.91718,0.97623,0.96269,0.94161,0.2704,0.45212,0.3684,0.008977,0.008977,0.008977
33,8893.84,0.05721,0.5314,0.89326,0.91949,0.9752,0.96249,0.9392,0.27137,0.45046,0.3698,0.008944,0.008944,0.008944
34,9417.81,inf,0.52432,0.89206,0.91552,0.97932,0.96274,0.94012,0.27217,0.44791,0.36958,0.008911,0.008911,0.008911
35,9958.29,0.056,0.52352,0.89327,0.91556,0.97663,0.96363,0.94032,0.27313,0.44569,0.36897,0.008878,0.008878,0.008878
36,10491.2,0.05678,0.52071,0.89274,0.92728,0.98175,0.96626,0.94356,0.27385,0.44299,0.36905,0.008845,0.008845,0.008845
37,11000.9,inf,0.51761,0.89289,0.92431,0.98198,0.96579,0.94601,0.27323,0.44321,0.36754,0.008812,0.008812,0.008812
38,11511.9,inf,0.51858,0.89257,0.92368,0.98429,0.96944,0.95302,0.27284,0.44617,0.36671,0.008779,0.008779,0.008779
39,12022.9,0.05328,0.5136,0.89192,0.92247,0.98676,0.96921,0.95071,0.27425,0.45135,0.36866,0.008746,0.008746,0.008746
40,12533.9,0.05488,0.51057,0.89239,0.92215,0.98714,0.96999,0.95395,0.27378,0.45407,0.3683,0.008713,0.008713,0.008713
41,13044.8,0.05473,0.51213,0.89294,0.92227,0.98664,0.97064,0.95467,0.27357,0.45612,0.36859,0.00868,0.00868,0.00868
42,13555.3,0.05475,0.51,0.89216,0.9215,0.98786,0.97111,0.95668,0.27266,0.4566,0.36845,0.008647,0.008647,0.008647
43,14066.7,inf,0.50647,0.89185,0.92108,0.9876,0.97023,0.95608,0.27159,0.4585,0.36772,0.008614,0.008614,0.008614
44,14576.1,0.05259,0.50105,0.89166,0.92025,0.98738,0.97217,0.95838,0.27133,0.46171,0.36748,0.008581,0.008581,0.008581
45,15087.1,0.05198,0.4998,0.89153,0.92015,0.98735,0.97186,0.95801,0.27115,0.46543,0.36799,0.008548,0.008548,0.008548
46,544.946,0.05668,0.50073,0.89081,0.92042,0.98753,0.97338,0.9614,0.26791,0.46352,0.36614,0.008515,0.008515,0.008515
47,1072.93,0.05832,0.51348,0.88982,0.91991,0.98773,0.97396,0.96235,0.26608,0.45777,0.36428,0.008482,0.008482,0.008482
48,1598.37,0.05479,0.5125,0.89048,0.91902,0.98774,0.97327,0.96257,0.26464,0.45274,0.36279,0.008449,0.008449,0.008449
49,2128.09,0.05544,0.50792,0.88964,0.91824,0.98793,0.97463,0.96491,0.26296,0.44772,0.3611,0.008416,0.008416,0.008416
50,2657.54,inf,0.50877,0.89025,0.91806,0.98792,0.9739,0.96338,0.26197,0.44179,0.35911,0.008383,0.008383,0.008383
51,3188.01,0.05613,0.50447,0.89024,0.91739,0.98811,0.97432,0.95469,0.26183,0.42767,0.35771,0.00835,0.00835,0.00835
52,3716.71,inf,0.50071,0.89043,0.92013,0.9852,0.9754,0.96396,0.27465,0.4137,0.36776,0.008317,0.008317,0.008317
53,4243.56,inf,0.49813,0.89013,0.91828,0.98414,0.97338,0.96468,0.26484,0.41865,0.36018,0.008284,0.008284,0.008284
54,4763.01,inf,0.49825,0.88983,0.91825,0.98778,0.97433,0.9686,0.26107,0.43728,0.35552,0.008251,0.008251,0.008251
55,5283.6,inf,0.49502,0.8898,0.91885,0.98397,0.97481,0.97288,0.26036,0.43756,0.35426,0.008218,0.008218,0.008218
56,5806.24,0.05507,0.49344,0.88987,0.91978,0.98407,0.97423,0.973,0.25893,0.43182,0.35248,0.008185,0.008185,0.008185
57,6327.15,inf,0.49421,0.88897,0.91896,0.9867,0.97305,0.97118,0.25842,0.43191,0.35196,0.008152,0.008152,0.008152
58,6845.89,0.05453,0.49099,0.89013,0.92209,0.98054,0.97357,0.97273,0.25712,0.42996,0.35027,0.008119,0.008119,0.008119
59,7366.88,inf,0.48661,0.88966,0.91667,0.98953,0.9726,0.97175,0.25371,0.42404,0.34493,0.008086,0.008086,0.008086
60,7890.26,0.05412,0.48801,0.88929,0.91452,0.99023,0.97221,0.97139,0.24875,0.41668,0.33745,0.008053,0.008053,0.008053
61,8411.59,inf,0.48914,0.88908,0.92034,0.98124,0.97597,0.97515,0.24609,0.40949,0.33281,0.00802,0.00802,0.00802
62,8929.56,0.0546,0.48396,0.88982,0.91829,0.98284,0.97723,0.97642,0.24294,0.40001,0.32782,0.007987,0.007987,0.007987
63,9449.87,0.05404,0.4812,0.88895,0.91713,0.98558,0.97723,0.9764,0.24011,0.39389,0.32387,0.007954,0.007954,0.007954
64,9972.72,inf,0.47915,0.88918,0.91847,0.98248,0.97742,0.9766,0.23801,0.38009,0.32039,0.007921,0.007921,0.007921
65,10494.8,0.05216,0.47703,0.88872,0.91932,0.98134,0.97746,0.97663,0.26004,0.37529,0.33737,0.007888,0.007888,0.007888
66,11015.4,0.05156,0.47588,0.88906,0.9195,0.98376,0.97739,0.97636,0.31373,0.40559,0.36981,0.007855,0.007855,0.007855
67,11533.2,0.05323,0.47717,0.88902,0.92035,0.98831,0.97724,0.97419,0.33047,0.42711,0.37353,0.007822,0.007822,0.007822
68,12063.2,0.05208,0.4721,0.88833,0.91977,0.98869,0.97755,0.97365,0.3266,0.43482,0.36847,0.007789,0.007789,0.007789
69,12594.3,0.05219,0.47069,0.88843,0.91941,0.9887,0.97851,0.97313,0.32427,0.43912,0.36587,0.007756,0.007756,0.007756
70,13116.1,inf,0.47183,0.88899,0.9204,0.98823,0.97988,0.97083,0.32409,0.44083,0.36632,0.007723,0.007723,0.007723
71,13637.3,0.05225,0.47029,0.88851,0.91982,0.98822,0.98039,0.96867,0.32256,0.4416,0.36505,0.00769,0.00769,0.00769
72,14157,0.05323,0.47328,0.88807,0.91947,0.98812,0.97942,0.96554,0.32044,0.4423,0.36325,0.007657,0.007657,0.007657
73,14674.9,inf,0.46928,0.88854,0.91762,0.98861,0.97984,0.97039,0.31596,0.44063,0.3581,0.007624,0.007624,0.007624
74,15194.4,inf,0.47025,0.88847,0.91782,0.98942,0.98017,0.97003,0.31349,0.44112,0.35728,0.007591,0.007591,0.007591
