epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2841.95,0.10389,1.78929,0.92054,0.81814,0.83697,0.84438,0.84156,0.23905,0.33744,0.31805,0.00333317,0.00333317,0.00333317
2,5452.54,0.09713,1.0314,0.90584,0.82073,0.90045,0.89044,0.88798,0.24855,0.31054,0.31842,0.00664451,0.00664451,0.00664451
3,7928.02,0.09355,0.9536,0.90513,0.0738,0.34251,0.07163,0.02713,2.87137,3.65116,1.52604,0.00993384,0.00993384,0.00993384
4,10337.1,0.08113,0.88897,0.90208,0.0738,0.34251,0.07163,0.02713,4.74868,4.64816,4.10804,0.009901,0.009901,0.009901
5,12738.5,inf,0.81063,0.89932,0.0738,0.34251,0.07163,0.02713,3.34279,4.38349,2.52827,0.009868,0.009868,0.009868
6,15213,inf,0.78038,0.89746,0.08855,0.66115,0.18785,0.11917,1.49082,3.32863,1.29263,0.009835,0.009835,0.009835
7,17686.3,inf,0.75881,0.89773,0.85684,0.84522,0.88745,0.80676,0.5011,0.64145,0.57946,0.009802,0.009802,0.009802
8,20161.1,inf,0.74611,0.89783,0.88394,0.96648,0.94019,0.93312,0.26242,0.22595,0.37373,0.009769,0.009769,0.009769
9,22634.8,0.06397,0.73262,0.89709,0.89902,0.9689,0.94562,0.94078,0.24085,0.29786,0.33595,0.009736,0.009736,0.009736
10,25118.5,inf,0.72205,0.89676,0.90419,0.97538,0.94691,0.94426,0.25891,0.34355,0.3419,0.009703,0.009703,0.009703
11,27587.7,0.06378,0.71882,0.89728,0.90676,0.97726,0.95522,0.95365,0.2491,0.3467,0.3294,0.00967,0.00967,0.00967
12,30096,inf,0.71322,0.89717,0.90769,0.97836,0.95575,0.95411,0.25122,0.35341,0.33157,0.009637,0.009637,0.009637
13,32572.2,inf,0.70708,0.89735,0.90537,0.97965,0.9587,0.95729,0.25092,0.35592,0.33292,0.009604,0.009604,0.009604
14,35043.1,inf,0.70471,0.8961,0.90702,0.98175,0.96067,0.95935,0.24308,0.34704,0.32439,0.009571,0.009571,0.009571
15,37511.1,inf,0.69829,0.89671,0.90468,0.98315,0.9591,0.95777,0.24394,0.34675,0.32467,0.009538,0.009538,0.009538
16,2551.54,inf,0.69663,0.89697,0.9074,0.98343,0.96184,0.96058,0.24378,0.35347,0.32732,0.009505,0.009505,0.009505
17,5102.13,inf,0.69947,0.89648,0.90918,0.98333,0.96183,0.96059,0.23457,0.35234,0.31631,0.009472,0.009472,0.009472
18,7641.44,0.0626,0.69337,0.89699,0.91174,0.97974,0.96207,0.96083,0.23444,0.35739,0.31554,0.009439,0.009439,0.009439
19,10166.9,inf,0.68937,0.89644,0.91064,0.98176,0.96345,0.96223,0.24113,0.35897,0.3249,0.009406,0.009406,0.009406
20,12661.7,inf,0.68638,0.89706,0.91046,0.98179,0.9643,0.96306,0.2501,0.36226,0.3368,0.009373,0.009373,0.009373
21,15157.1,inf,0.68612,0.89634,0.90687,0.98116,0.96183,0.9606,0.24576,0.35176,0.33009,0.00934,0.00934,0.00934
22,17658.7,inf,0.68251,0.8964,0.91104,0.98166,0.96167,0.96043,0.24527,0.35011,0.32886,0.009307,0.009307,0.009307
23,20153,0.06345,0.68079,0.89539,0.91032,0.99043,0.96108,0.95985,0.23178,0.33601,0.31,0.009274,0.009274,0.009274
24,22649.4,inf,0.67476,0.89599,0.91326,0.9893,0.9639,0.9627,0.22778,0.33372,0.30397,0.009241,0.009241,0.009241
25,25143.9,inf,0.67429,0.89576,0.91179,0.98012,0.96508,0.96386,0.23114,0.3259,0.30723,0.009208,0.009208,0.009208
26,27641.4,inf,0.67188,0.89564,0.90937,0.98298,0.9626,0.96142,0.20793,0.28903,0.27185,0.009175,0.009175,0.009175
27,30148.4,inf,0.67154,0.89489,0.91363,0.98461,0.96273,0.96119,0.24649,0.25044,0.2888,0.009142,0.009142,0.009142
28,32648.8,inf,0.67375,0.8942,0.91252,0.9856,0.96407,0.96275,0.24215,0.25225,0.28401,0.009109,0.009109,0.009109
29,35143.1,inf,0.68214,0.89447,0.91734,0.98275,0.96483,0.96367,0.23857,0.25153,0.28071,0.009076,0.009076,0.009076
30,37652.6,inf,0.68157,0.89416,0.91494,0.98918,0.96156,0.9604,0.24352,0.24134,0.28657,0.009043,0.009043,0.009043
31,40181.2,inf,0.67913,0.89439,0.91517,0.98685,0.96286,0.96168,0.23827,0.24188,0.28134,0.00901,0.00901,0.00901
32,42676.4,inf,0.67549,0.89359,0.91519,0.98665,0.96362,0.96246,0.24363,0.2434,0.28893,0.008977,0.008977,0.008977
33,45217.9,inf,0.6685,0.89456,0.91599,0.98905,0.9644,0.96325,0.25167,0.23966,0.29946,0.008944,0.008944,0.008944
34,47758.1,inf,0.66802,0.89325,0.91467,0.9858,0.96449,0.96332,0.25225,0.24064,0.30137,0.008911,0.008911,0.008911
